Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.25%,3.27%,3000000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.13%,4.13%,5000000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,15 Year Fixed,,Offline,30,Fixed,3.38%,3.39%,5000000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.25%,3.27%,5000000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,Suntrust Bank 15 Year Fixed Rate Home Loan,,Offline,30,Fixed,3.70%,3.82%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Chase 15 Year Fixed Mortgage,,Offline,30,Fixed,3.88%,4.02%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Bank of America 15 Year Fixed Mortgage,,Offline,30,Fixed,4.00%,4.31%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,Wells Fargo 15 Year Fixed Home Loan,,Offline,30,Fixed,4.13%,4.25%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Bank of America 30 Year Fixed Mortgage,,Offline,30,Fixed,4.38%,4.59%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Chase 30 Year Fixed Mortgage,,Offline,30,Fixed,4.38%,4.46%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,Suntrust Bank 30 Year Fixed Rate Home Loan,,Offline,30,Fixed,4.40%,4.47%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,Wells Fargo 30 Year Fixed Home Loan,,Offline,30,Fixed,4.50%,4.58%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,Citibank 30 Year Fixed Mortgage,,Offline,30,Fixed,4.63%,4.75%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,Wells Fargo 30-Year Fixed-Rate Jumbo Home Loan,,Offline,30,Fixed,4.63%,4.63%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,Wells Fargo 5/1 ARM Home Loan,,Offline,30,Variable,4.13%,4.68%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,Wells Fargo 7/1 ARM Home Loan,,Offline,30,Variable,4.25%,4.64%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,Wells Fargo 15-Year Fixed-Rate Jumbo Home Loan,,Offline,30,Fixed,4.38%,4.39%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
