Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-04-06,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,360 CD,1,,Offline,12,Fixed,,2.05%,nerdwallet.com
 2018-04-06,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,12MCDF,Certificate of Deposit,2000,,Online,12,Fixed,,2.05%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD,25000,,Online,12,Fixed,,2.00%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD,5000,,Online,12,Fixed,,1.85%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CD,25000,,Online,6,Fixed,,1.75%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CD,5000,,Online,6,Fixed,,1.60%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CD,1,,Online,6,Fixed,,1.50%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,,,Online,,Fixed,,,nerdwallet.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Access Account,1500,,Offline,,Fixed,,,nerdwallet.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Basic Checking,0,,Offline,,Fixed,,,nerdwallet.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Priority Checking,50000,,Offline,,Fixed,,,nerdwallet.com
 2018-04-06,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBF,High Yield Savings Account,0,,Online,,Fixed,,1.55%,nerdwallet.com
 2018-04-06,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,360 Money Market Account,10000,,Online,,Fixed,,1.50%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Online Savings Account,1,,Online,,Fixed,,1.45%,nerdwallet.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Ally Bank Savings Account,,,Online,,Fixed,1.45%,,us.deposits.org
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,PNC Money Market Account,100,,Offline,,Fixed,0.17%,,us.deposits.org
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Savings Plus Account,,,Offline,,Fixed,0.13%,,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,Savings,_MSBF,Wells Fargo Business Platinum Savings Account,50,,Offline,,Fixed,0.06%,,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,Wells Fargo 1 Year CD Rates,2500,,Offline,12,Fixed,0.10%,,us.deposits.org
